Eager: ansioso, entusiástico, ávido
Earn: ganhar, obter, merecer
Earnings: ganhos, rendimentos, lucros
Easily: facilmente, com facilidade, sem dificuldade
East: leste, oriente, zona leste
Easily: facilmente, de forma simples, sem esforço
Eccentric: excêntrico, peculiar, estranho
Eclipse: eclipse, ocultação, ocultar
Economic: econômico, financeiro, de custo reduzido
Economical: econômico, barato, eficiente
Edge: borda, beira, vantagem
Edible: comestível, próprio para comer, consumível
Educate: educar, ensinar, instruir
Efficient: eficiente, eficaz, produtivo
Effort: esforço, tentativa, empenho
Element: elemento, parte, componente
Elevate: elevar, erguer, promover
Eligible: elegível, qualificado, apto
Eliminate: eliminar, excluir, remover
Elite: elite, classe alta, grupo seleto
Embrace: abraçar, acolher, adotar
Emergency: emergência, urgência, situação crítica
Emit: emitir, lançar, expelir
Emotion: emoção, sentimento, afetividade
Empathy: empatia, compreensão, compaixão
Emphasize: enfatizar, ressaltar, destacar
Employ: empregar, usar, contratar
Employment: emprego, trabalho, ocupação
Empower: capacitar, autorizar, permitir
Empty: vazio, desocupado, desabitado
Enable: habilitar, possibilitar, permitir
Enclose: cercar, fechar, incluir
Encounter: encontro, encontro inesperado, confronto
Encourage: encorajar, incentivar, apoiar
End: fim, término, conclusão
Endorse: endossar, apoiar, aprovar
Enemy: inimigo, adversário, rival
Energy: energia, vitalidade, força
Enforce: impor, executar, fazer cumprir
Engage: engajar, envolver, atrair
Engine: motor, máquina, mecanismo
Enhance: melhorar, aumentar, aprimorar
Enlighten: iluminar, esclarecer, ensinar
Enormous: enorme, imenso, gigantesco
Enrich: enriquecer, melhorar, aprimorar
Ensure: garantir, assegurar, certificar
Enter: entrar, acessar, ingressar
Enterprise: empresa, empreendimento, iniciativa
Entertainment: entretenimento, diversão, lazer
Entire: inteiro, completo, total
Entrust: confiar, delegar, incumbir
Envious: invejoso, ciumento, cobiçoso
Epidemic: epidemia, surto, crise de saúde
Episode: episódio, evento, incidente
Equal: igual, equivalente, parelho
Equator: equador, linha do equador, meridiano
Equip: equipar, fornecer, abastecer
